"time","1","2","3","4"
1,0.3,0.4,0.1,0.35
2,0.326870739108548,0.41813069395619,0.0998734748625376,0.35861164969252
3,0.344651687229421,0.432702734451586,0.0928393216254869,0.352307339802175
4,0.356833345591764,0.44837318762752,0.0834976745002133,0.340443304893972
5,0.364396405785224,0.466220945308122,0.0742406741188476,0.327163874972239
6,0.367467358157514,0.485783067799145,0.0662595406315778,0.31445978898285
7,0.366197133776017,0.505936367410418,0.0601086879743397,0.303465827938869
8,0.36108051076084,0.525316915061624,0.0559945010197573,0.294881213284641
9,0.352948054745096,0.542589538462695,0.0539544697860818,0.289096234052277
10,0.342797716765785,0.556639919209557,0.0539773716205022,0.286248695110411
11,0.33159560170723,0.566687074572221,0.0560756987686557,0.286274963624388
12,0.320125502437929,0.572312991051419,0.0603172971258317,0.288964122185838
13,0.308914397848796,0.573425452587884,0.0668247314111443,0.294011286520787
14,0.298226000979267,0.570182644909318,0.0757504786160356,0.301067507657718
15,0.288101054416101,0.562907202343614,0.0872353309211509,0.309785283360196
16,0.278423734197511,0.552008708857135,0.1013582958706,0.319857486188058
17,0.26899841205702,0.537924447294754,0.118087980777169,0.331045108607693
18,0.259624661409204,0.521081777454987,0.137245333786557,0.343188374282745
19,0.250160370368096,0.50188173257293,0.158484037250845,0.356198051410843
20,0.240565159825132,0.480700839603615,0.181289266766504,0.370028597574017
21,0.230920306100701,0.45790588010781,0.204991635734592,0.384639714807511
22,0.221426336095272,0.433874417360983,0.228793227915009,0.399955616602953
23,0.212383708069241,0.409013197818504,0.251804934469776,0.415830889301243
24,0.204164501500199,0.38376775724297,0.273094657198439,0.432028950308822
25,0.197183910917669,0.358619829575987,0.291741948809628,0.448215087913432
26,0.19188000407922,0.334073620959588,0.30688839477652,0.463962003991183
27,0.188708860833625,0.310636149669519,0.317769423741911,0.478762354878125
28,0.188160081468482,0.288799255413131,0.323715967762819,0.49204044910818
29,0.190795353713071,0.26903107077364,0.324123260428256,0.503154270921066
30,0.197310800045131,0.251783444758635,0.318396169159869,0.511379355653004
31,0.208621023667889,0.237520467513013,0.305894530097333,0.515867824266791
32,0.225953421867011,0.22677319381047,0.285922470924252,0.51558061207639
33,0.250909496194873,0.220227135608662,0.257843368335924,0.509204873847453
34,0.28536075620398,0.218849762065782,0.221462371875954,0.495109751274366
35,0.33084849337514,0.224053800179077,0.177839306314285,0.471485388070443
36,0.386935082740408,0.237849321237273,0.13043996478916,0.436979190727293
37,0.448349676398887,0.262813558621686,0.085553162451696,0.392093372354451
38,0.50313936415948,0.301546100628382,0.0500493317333105,0.340773024893231
39,0.536497689518672,0.355299022117089,0.0270511895696439,0.290078264170896
40,0.539753134621259,0.422111400293718,0.0145410988607312,0.246954444321324
41,0.515273620737855,0.495806804807074,0.00847398223690712,0.215147349041151
42,0.472974788586273,0.567322174885292,0.00572313689812242,0.195084288148968
43,0.424074183812857,0.628029302596926,0.00462283829196965,0.18552262678321
44,0.377092801440904,0.672633031661481,0.00445885211492568,0.18488662358451
45,0.336828000759825,0.699783193316984,0.00501574086981777,0.191775053855609
46,0.305103120210495,0.710871323104588,0.00636039143928011,0.204949314678828
47,0.281971351588053,0.70852884881835,0.0087675154850936,0.223126229299542
48,0.266640685687458,0.695690256625121,0.0126932748224874,0.244777982492272
49,0.257962578300473,0.675227391710978,0.0187219900520326,0.268070880524881
50,0.254605701436618,0.649846012962358,0.0274236904864031,0.291016463502608
