"time","algae","rotifers"
0.95,20.75,1.084
2.26,17.5,3.652
2.91,9.5,3.572
3.95,10.25,4.214
4.95,9.75,3.492
5.93,22.75,3.17
6.96,7.5,7.224
8.22,19.25,3.772
9.08,10.5,6.26
9.94,6,3.332
11.95,12.75,1.566
13,15.5,4.616
13.98,8,4.776
14.99,16.75,3.732
16.02,6.25,5.298
16.94,9.5,1.646
17.98,41,3.894
18.93,17.25,4.696
20,6.75,5.578
20.95,30.75,3.812
22.02,24.75,4.696
23.16,4.5,5.94
23.94,6.5,7.706
24.95,23.5,2.328
25.97,15.5,4.696
26.95,30.25,4.174
27.92,6.25,6.782
29.05,9,2.93
30.05,11.5,3.532
30.93,15.5,2.368
31.9,19,2.568
32.97,14,4.454
34,15,4.656
34.95,30.25,5.78
36.3,3.75,11.036
37.3,3.25,4.976
37.92,5.25,1.404
38.95,24.25,1.766
40,33.75,2.208
40.93,17.75,5.298
41.95,10.75,6.662
43.19,8.75,4.294
44.19,11.75,2.528
44.94,19.25,2.448
45.93,21.5,1.806
47.07,25.5,10.474
48,7.25,8.188
48.93,16.25,6.742
49.99,7.5,3.25
51.01,5.5,2.568
51.95,8.75,1.926
52.97,37.75,2.528
53.98,25.25,6.904
54.94,7,8.388
55.99,7,5.016
57.01,18.75,4.616
58.02,12.25,5.178
58.98,9,6.782
59.93,16,10.434
60.9,4,10.474
61.98,2.25,5.578
62.97,14,1.084
64.09,14.25,7.986
65.35,15.25,7.906
65.97,9.25,7.384
66.92,11,4.214
67.99,5,3.452
68.95,10.5,3.492
69.97,23.5,4.576
71.15,8.25,8.348
72.29,7,3.894
72.95,12.75,3.692
73.98,20.25,7.746
74.98,4.75,7.946
75.96,2.5,4.294
76.94,8,2.648
77.99,19,3.13
79.04,14.5,5.218
79.94,14.25,7.024
81.05,10,9.552
81.99,8.75,9.512
82.95,7.25,8.628
84.13,8.25,6.22
85.32,7.75,6.06
85.98,7.5,5.74
87.24,7.5,4.616
87.93,8,4.616
88.95,9.5,4.134
89.97,21.25,5.098
90.97,6.25,8.308
92.08,8.25,7.626
93.02,8.75,2.568
94.03,9.25,3.452
94.96,25,4.014
95.96,8.5,7.786
96.99,5.5,4.294
97.98,7.75,4.214
99.06,7,3.372
100.04,5.75,1.566
100.93,8.25,1.204
101.95,20,1.164
102.99,19.5,4.656
103.94,15.5,3.372
104.93,7,6.944
106.05,5.25,4.736
107.14,5.75,3.05
107.92,7.5,2.368
108.98,12.75,2.85
110,13.5,4.134
110.97,11,6.1
111.92,13.25,6.06
113.02,6,5.178
113.96,4.25,4.816
114.92,6.25,2.006
115.93,14.75,1.526
116.96,20.5,5.298
117.97,7.5,8.388
118.98,6.25,7.184
119.99,10,5.378
121.19,6,4.656
121.99,9,3.852
122.94,37.75,5.138
124.02,13.5,15.412
125.05,4.75,11.438
126.02,4.75,6.382
127.04,10,3.05
128.22,6.75,4.816
129.02,10.25,4.696
129.98,22,6.904
130.98,6.75,8.508
131.97,10.75,6.1
132.95,11.5,8.548
134.03,12.5,10.354
135.35,5.75,6.26
136.18,10.5,3.01
136.99,16.5,5.658
137.98,5.25,7.264
139,4.25,7.344
139.93,4.5,9.632
141.31,3.5,14.73
142.32,9,5.658
142.96,8.75,5.418
143.95,17.75,9.07
144.99,20.25,8.588
146.01,24.75,3.934
147.05,18.75,2.488
148.25,13.75,3.652
149.31,9,6.22
149.93,10,5.618
150.94,13.75,3.09
151.95,6,8.108
152.96,12.75,9.432
155.18,5.25,4.014
156.38,9.75,2.608
156.95,12.5,3.652
157.91,3.75,6.904
159,8.25,9.872
159.9,7,8.87
160.98,3.5,2.328
162,4.5,1.886
163.03,10.5,4.014
163.98,13,5.82
164.96,20.5,10.474
165.93,5,11.558
166.94,3.5,7.024
168.04,9.75,3.17
168.89,13.25,3.452
170.12,5.5,6.742
170.95,7.25,2.608
172.02,26.5,3.572
173.01,12.5,8.428
173.97,4,7.064
174.97,6.25,3.652
175.85,12,2.288
177.14,10.75,4.334
177.93,11,5.056
178.94,21.75,6.1
179.91,4.75,7.064
180.96,13,5.458
182,5.75,4.094
182.91,11.75,2.93
184.05,9.25,2.568
184.91,11.5,3.492
185.91,29.75,6.18
186.93,9.25,11.518
187.94,5.25,8.308
188.9,6.25,4.294
189.9,11.75,3.452
191.85,13.25,3.652
192.91,22.75,5.578
193.94,9.25,10.796
194.91,4.75,5.378
195.92,18.25,4.856
196.92,7.75,3.772
198.9,15.25,0.882
199.98,24,6.662
200.88,13.75,16.334
201.91,3.25,3.692
202.96,7.25,2.89
205.05,12,4.896
205.96,9.5,4.414
206.92,11.25,3.452
207.92,11.75,5.538
208.94,10.5,7.464
209.95,18.5,6.862
211.08,3.5,11.558
211.99,3.75,5.458
212.95,9.75,2.73
213.92,22.5,2.688
214.99,20.25,6.14
215.98,10.5,7.506
216.99,9.25,6.06
219.32,9.5,3.692
220.04,12.75,2.73
221.01,12,2.97
221.98,10.5,6.542
222.96,21,9.19
223.97,6.5,9.23
225.23,6,5.94
226.16,8.5,1.606
227.94,16.5,4.174
228.93,16.75,10.074
229.97,10.25,11.118
230.93,11.5,6.984
232.05,10.25,5.498
232.9,10.75,2.448
233.9,10.25,2.208
234.94,11.25,0.642
235.97,7.5,8.99
238.05,8,4.816
239.16,10.5,3.332
240.16,20.5,2.128
240.95,16.5,1.284
241.98,13.75,7.464
243.01,8,7.144
243.97,4.25,5.098
244.94,15.25,2.328
245.97,18,4.856
247.25,5,5.458
248.18,9.75,3.612
248.96,7.25,3.612
249.94,2.75,1.364
251.15,17.75,2.89
251.95,10.5,2.688
252.98,18,5.178
254.17,6,5.218
254.98,36,2.73
255.93,16.75,5.016
257.01,11.5,3.332
258.04,9.25,4.536
258.9,10.75,2.086
260.36,16,5.418
261.08,27.75,4.496
261.93,11.75,3.412
263.03,10.5,6.382
264,11.75,5.338
264.96,11.25,3.572
265.95,11,3.25
267.04,18.25,3.492
268.21,8.25,3.974
268.95,10.5,3.692
269.97,20.5,3.09
271.02,17.75,6.622
271.97,10.25,7.626
272.99,20.75,3.652
274.14,12,5.258
275.1,14,3.852
275.97,16.25,4.496
277,19.25,4.334
277.96,7.5,6.14
278.98,13,5.098
279.97,31.5,8.628
281.31,5.5,6.18
282.04,2.75,3.812
283.96,14.5,0.522
284.97,22,2.006
286,21.75,6.742
286.98,10,6.862
288.25,11.5,7.384
289.13,7.25,5.258
289.9,3,4.334
290.93,18.25,4.736
291.95,14.5,8.508
292.94,9.75,4.334
293.95,9.75,5.098
295,9,4.174
296.15,11.75,2.648
296.91,29,3.894
298,16,3.772
298.97,6.25,8.348
299.97,12.75,4.776
300.97,10.25,7.546
302.19,17.75,8.188
303.11,15.25,5.338
303.93,26,3.852
305.14,13.5,6.26
305.92,36,6.984
307.01,11.75,4.736
308.13,8.75,4.054
309.16,11.25,3.572
310,10.5,4.656
311.01,19.5,7.384
312.03,4.5,6.462
312.92,16,4.936
314.02,17.75,5.78
314.99,8.25,7.786
316.21,9.5,3.29
317.05,22.25,4.656
317.95,14.25,5.378
319.07,3.25,5.138
319.92,9,3.974
321.06,9,7.304
321.95,9,10.636
323.17,6.75,15.452
324.19,3.25,28.174
324.94,3.75,17.218
325.99,2.5,4.054
326.99,15,3.13
327.99,40.75,11.72
328.96,38.5,19.986
330.26,10.75,45.11
331.21,11.5,11.358
331.95,8,2.77
332.94,14.5,1.806
333.97,28.75,5.458
335.05,47.75,9.712
335.97,16.25,13.846
337.24,13.25,9.27
338.06,7,5.258
338.97,6.75,2.328
339.93,14.5,1.726
341.06,22.75,3.05
341.98,27.5,6.662
347.01,16.75,6.862
347.96,11.75,7.986
352.1,11.75,4.014
352.93,16.75,3.974
353.96,31.5,8.87
354.97,16.25,12.642
355.95,9.25,8.308
356.95,11,5.78
358.19,10.75,3.732
359.13,13,3.934
360.01,16.5,2.128
360.9,30,7.546
361.95,11,7.304
362.92,13.5,4.214
363.94,19.25,6.06
365.03,14.25,7.064
366.18,7.75,4.054
366.91,11.5,2.93
367.94,19.25,4.214
368.91,21.75,6.904
369.93,12.25,7.746
370.95,9,4.736
371.98,16.25,2.688
373.01,17,5.498
373.95,19.75,7.304
