"time","x","y"
1,0.7,0.3
2,0.75963856280709,0.431626296445206
3,0.823090877455664,0.611460168151734
4,0.890386964148437,0.848406115085205
5,0.961519920753129,1.14611445965424
6,1.03644159113361,1.49861444542842
7,1.11505877375214,1.88781408241861
8,1.1972302068541,2.28572813157966
9,1.2827645665965,2.6618169668279
10,1.37141969800572,2.99179061615806
11,1.46290326369218,3.26292894220092
12,1.55687494144504,3.47397053385505
13,1.65295023081479,3.63141160438511
14,1.75070584440003,3.74518675628333
15,1.84968656770457,3.82552929238265
16,1.94941337966305,3.88134239809737
17,2.04939254262217,3.91967578147219
18,2.1491253038884,3.94579815244135
19,2.24811780779375,3.96350431612692
20,2.34589080218512,3.9754623581789
21,2.44198873793683,3.98351856309316
22,2.53598790293087,3.98893711248303
23,2.6275032983816,3.99257754167555
24,2.716194048541,3.99502152137493
25,2.80176722653737,3.99666144903777
26,2.88398007099653,3.99776148164698
27,2.96264065261446,3.99849919617077
28,3.03760712105187,3.99899385449412
29,3.10878571654573,3.99932550311486
30,3.17612776581714,3.99954784510744
31,3.23962589854267,3.999696899563
32,3.29930972078755,3.99979682018729
33,3.35524116838799,3.99986380192401
34,3.407509739867,3.99990870247758
35,3.45622777868789,3.99993880084798
36,3.5015259418053,3.99995897668613
37,3.54354895834177,3.99997250109802
38,3.58245175092085,3.99998156685318
39,3.6183959641844,3.99998764384673
40,3.65154692115638,3.99999171739645
41,3.68207100872667,3.99999444798903
42,3.71013347856033,3.99999627836602
43,3.73589663886361,3.99999750530798
44,3.75951840516254,3.99999832775398
45,3.78115117399683,3.9999988790574
46,3.80094098161047,3.99999924860801
47,3.81902690976923,3.99999949632577
48,3.8355407022512,3.99999966237632
49,3.8506065579095,3.99999977368359
50,3.86434106914221,3.99999984829524
