time,1,2,3
0.0,8.560229512070315,2.9945242960652227,1.6215082940948955
0.08,12.174269133045453,3.792184739993323,0.4098301757966364
0.16,8.17291090099311,10.73609600659618,1.8227229720275286
0.24,9.522623491369073,5.48764292568278,1.8705002818307348
0.32,13.86084924532528,8.752103245347508,2.9003272792389825
0.4,13.721070655091035,11.385469050074065,4.898753825919556
0.48,12.15712465180917,13.27156694530113,2.977551558323294
0.56,27.90555124746911,19.63673320602058,5.194571711276531
0.64,18.923844305684522,23.54707961499151,7.388847916421981
0.72,10.513983388947945,25.18963793638648,9.575972772198966
0.8,26.0425777261526,26.038327591209505,9.276217383547289
0.88,23.946939409152574,33.90557684015635,14.503482947632765
0.96,25.844962202874626,37.206143862215946,13.203918062933065
1.04,36.54510030437671,44.19828914995897,22.832519450811894
1.12,30.460896297642975,48.54147101229786,37.87340060689137
1.2,36.45655095268055,55.25669750441544,35.046464867039965
1.28,34.19046048997973,54.66166087338516,43.020050405241065
1.36,43.74090541790219,75.79615727451922,67.57360299994843
1.44,33.53585667632169,82.50418521582839,74.36133987358336
1.52,35.776396091021326,98.60593601975611,100.62889110836235
1.6,54.87762263959453,137.8882896652279,117.94171966495489
1.68,52.574057158325544,148.4240376302538,167.15673085527692
1.76,58.195152429451184,162.7266106841447,192.22562941374142
1.84,58.97751676090991,187.08200335071746,238.18283079899956
1.92,71.28701527240231,213.95872386497848,310.10353861652163
2.0,84.75284579123489,258.92694164731256,403.89546444193473
2.08,73.4460617055429,294.2490720802016,478.41330657004335
2.16,86.41661266965478,391.10493725244703,668.8688918658905
2.24,108.71277184753001,411.13843015048457,875.6102429870779
2.32,108.0968424188327,557.319384800454,1050.4545801683735
2.4,108.36619207640777,573.6156938437523,1303.9426776784637
2.48,108.1598828909196,708.3691874880117,1742.3564966616073
2.56,126.96079013398912,805.790873313482,2212.6796805592153
2.64,124.40076645311912,965.384294210041,2636.5676902010573
2.72,145.90049647914276,1128.6344251377009,3457.2097046383465
2.8000000000000003,147.36748907289805,1325.311587265401,4334.796626926635
2.88,197.30028146300558,1581.7370428498755,5652.483492623557
2.96,204.7637308859131,1870.7122497952357,7150.757030049285
