time,AO,LP,LB
0,0,0,0.156
0.25,0,0,0.156
0.5,0,0,0.156
0.75,0,0,0.155
1,0,0,0.155
1.25,0,0,0.155
1.5,0,0,0.154
1.75,0,0,0.154
2,0,0,0.154
2.25,0,0,0.154
2.5,0,0,0.154
2.75,0,0,0.154
3,0,0,0.154
3.25,0,0,0.155
3.5,0,0,0.155
3.75,0,0,0.155
4,0,0,0.155
4.25,0,0,0.155
4.5,0,0,0.156
4.75,0,0,0.156
5,0,0,0.156
5.25,0,0,0.157
5.5,0,0,0.157
5.75,0,0,0.158
6,0,0,0.158
6.25,0,0,0.159
6.5,0,0,0.159
6.75,0,0,0.16
7,0,0,0.161
7.25,0,0,0.162
7.5,0,0,0.164
7.75,0,0,0.165
8,0,0,0.167
8.25,0,0,0.168
8.5,0,0,0.171
8.75,0,0,0.174
9,0,0,0.177
9.25,0,0,0.179
9.5,0,0,0.182
9.75,0,0,0.185
10,0,0,0.188
10.25,0,0,0.191
10.5,0,0,0.196
10.75,0,0,0.199
11,0,0,0.203
11.25,0,0,0.207
11.5,0,0,0.212
11.75,0,0,0.216
12,0,0,0.221
12.25,0,0,0.226
12.5,0,0,0.229
12.75,0,0,0.234
13,0,0,0.24
13.25,0,0,0.244
13.5,0,0,0.248
13.75,0,0,0.253
14,0,0,0.257
14.25,0,0,0.261
14.5,0,0,0.267
14.75,0,0,0.27
15,0,0,0.276
15.25,0,0,0.281
15.5,0,0,0.286
15.75,0,0,0.29
16,0,0,0.296
16.25,0,0,0.3
16.5,0,0,0.306
16.75,0,0,0.311
17,0,0,0.316
17.25,0,0,0.321
17.5,0,0,0.323
17.75,0,0,0.328
18,0,0,0.331
18.25,0,0,0.336
18.5,0,0,0.34
18.75,0,0,0.344
19,0,0,0.346
19.25,0,0,0.351
19.5,0,0,0.353
19.75,0,0,0.358
20,0,0,0.361
20.25,0,0,0.363
20.5,0,0,0.366
20.75,0,0,0.369
21,0,0,0.372
21.25,0,0,0.377
21.5,0,0,0.38
21.75,0,0,0.383
22,0,0,0.388
22.25,0,0,0.39
22.5,0,0,0.395
22.75,0,0,0.397
23,0,0,0.401
23.25,0,0,0.403
23.5,0,0,0.407
23.75,0,0,0.409
24,0,0,0.413
24.25,0,0,0.416
24.5,0,0,0.419
24.75,0,0,0.422
25,0,0,0.426
25.25,0,0,0.428
25.5,0,0,0.431
25.75,0,0,0.435
26,0,0,0.438
26.25,0,0,0.442
26.5,0,0,0.444
26.75,0,0,0.449
27,0,0,0.452
27.25,0,0,0.454
27.5,0,0,0.459
27.75,0,0,0.461
28,0,0,0.464
28.25,0,0,0.468
28.5,0,0,0.47
28.75,0,0,0.473
29,0,0,0.477
29.25,0,0,0.478
29.5,0,0,0.481
29.75,0,0,0.484
30,0,0,0.488
30.25,0,0,0.49
30.5,0,0,0.493
30.75,0,0,0.496
31,0,0,0.497
31.25,0,0,0.5
31.5,0,0,0.502
31.75,0,0,0.505
32,0,0,0.507
32.25,0,0,0.509
32.5,0,0,0.511
32.75,0,0,0.514
33,0,0,0.517
33.25,0,0,0.519
33.5,0,0,0.522
33.75,0,0,0.523
34,0,0,0.524
34.25,0,0,0.527
34.5,0,0,0.529
34.75,0,0,0.53
35,0,0,0.532
35.25,0,0,0.535
35.5,0,0,0.536
35.75,0,0,0.539
36,0,0,0.541
36.25,0,0,0.543
36.5,0,0,0.544
36.75,0,0,0.546
37,0,0,0.548
37.25,0,0,0.549
37.5,0,0,0.551
37.75,0,0,0.553
38,0,0,0.555
38.25,0,0,0.556
38.5,0,0,0.558
38.75,0,0,0.559
39,0,0,0.56
39.25,0,0,0.562
39.5,0,0,0.563
39.75,0,0,0.564
40,0,0,0.565
40.25,0,0,0.567
40.5,0,0,0.568
40.75,0,0,0.57
41,0,0,0.571
41.25,0,0,0.573
41.5,0,0,0.574
41.75,0,0,0.576
42,0,0,0.577
42.25,0,0,0.578
42.5,0,0,0.58
42.75,0,0,0.58
43,0,0,0.582
43.25,0,0,0.582
43.5,0,0,0.583
43.75,0,0,0.585
44,0,0,0.586
44.25,0,0,0.587
44.5,0,0,0.588
44.75,0,0,0.588
45,0,0,0.59
45.25,0,0,0.591
45.5,0,0,0.592
45.75,0,0,0.592
46,0,0,0.593
46.25,0,0,0.594
46.5,0,0,0.595
46.75,0,0,0.596
47,0,0,0.597
47.25,0,0,0.598
47.5,0,0,0.599
47.75,0,0,0.6
48,0,0,0.601
48.25,0,0,0.602
48.5,0,0,0.603
48.75,0,0,0.604
49,0,0,0.604
49.25,0,0,0.606
49.5,0,0,0.606
49.75,0,0,0.607
50,0,0,0.608
50.25,0,0,0.609
50.5,0,0,0.61
50.75,0,0,0.611
51,0,0,0.611
51.25,0,0,0.612
51.5,0,0,0.613
51.75,0,0,0.613
52,0,0,0.614
52.25,0,0,0.615
52.5,0,0,0.616
52.75,0,0,0.616
53,0,0,0.618
53.25,0,0,0.618
53.5,0,0,0.618
53.75,0,0,0.619
54,0,0,0.62
54.25,0,0,0.621
54.5,0,0,0.622
54.75,0,0,0.622
55,0,0,0.623
55.25,0,0,0.624
55.5,0,0,0.624
55.75,0,0,0.625
56,0,0,0.626
56.25,0,0,0.627
56.5,0,0,0.627
56.75,0,0,0.628
57,0,0,0.629
57.25,0,0,0.629
57.5,0,0,0.63
57.75,0,0,0.63
58,0,0,0.63
58.25,0,0,0.631
58.5,0,0,0.632
58.75,0,0,0.633
59,0,0,0.634
59.25,0,0,0.635
59.5,0,0,0.635
59.75,0,0,0.636
60,0,0,0.637
60.25,0,0,0.638
60.5,0,0,0.638
60.75,0,0,0.638
61,0,0,0.639
61.25,0,0,0.64
61.5,0,0,0.641
61.75,0,0,0.641
62,0,0,0.642
62.25,0,0,0.642
62.5,0,0,0.643
62.75,0,0,0.644
63,0,0,0.644
63.25,0,0,0.645
63.5,0,0,0.646
63.75,0,0,0.647
64,0,0,0.647
64.25,0,0,0.648
64.5,0,0,0.648
64.75,0,0,0.649
65,0,0,0.649
65.25,0,0,0.65
65.5,0,0,0.651
65.75,0,0,0.652
66,0,0,0.652
66.25,0,0,0.653
66.5,0,0,0.653
66.75,0,0,0.654
67,0,0,0.655
67.25,0,0,0.655
67.5,0,0,0.656
67.75,0,0,0.656
68,0,0,0.656
68.25,0,0,0.657
68.5,0,0,0.657
68.75,0,0,0.658
69,0,0,0.659
69.25,0,0,0.66
69.5,0,0,0.659
69.75,0,0,0.66
70,0,0,0.661
70.25,0,0,0.661
70.5,0,0,0.662
70.75,0,0,0.662
71,0,0,0.662
71.25,0,0,0.664
71.5,0,0,0.664
71.75,0,0,0.664
72,0,0,0.665
72.25,0,0,0.666
72.5,0,0,0.666
72.75,0,0,0.667
73,0,0,0.667
73.25,0,0,0.667
73.5,0,0,0.668
73.75,0,0,0.668
74,0,0,0.669
74.25,0,0,0.669
74.5,0,0,0.669
74.75,0,0,0.67
75,0,0,0.67
75.25,0,0,0.671
75.5,0,0,0.671
75.75,0,0,0.672
76,0,0,0.672
76.25,0,0,0.672
76.5,0,0,0.673
76.75,0,0,0.674
77,0,0,0.674
77.25,0,0,0.675
77.5,0,0,0.675
77.75,0,0,0.676
78,0,0,0.676
78.25,0,0,0.677
78.5,0,0,0.677
78.75,0,0,0.677
79,0,0,0.678
79.25,0,0,0.678
79.5,0,0,0.679
79.75,0,0,0.679
80,0,0,0.679
80.25,0,0,0.68
80.5,0,0,0.681
80.75,0,0,0.681
81,0,0,0.681
81.25,0,0,0.682
81.5,0,0,0.682
81.75,0,0,0.682
82,0,0,0.683
82.25,0,0,0.684
82.5,0,0,0.684
82.75,0,0,0.684
83,0,0,0.684
83.25,0,0,0.685
83.5,0,0,0.685
83.75,0,0,0.686
84,0,0,0.686
84.25,0,0,0.687
84.5,0,0,0.687
84.75,0,0,0.687
85,0,0,0.687
85.25,0,0,0.687
85.5,0,0,0.688
85.75,0,0,0.689
86,0,0,0.689
86.25,0,0,0.689
86.5,0,0,0.689
86.75,0,0,0.69
87,0,0,0.691
87.25,0,0,0.691
87.5,0,0,0.691
87.75,0,0,0.691
88,0,0,0.692
88.25,0,0,0.692
88.5,0,0,0.692
88.75,0,0,0.692
89,0,0,0.693
89.25,0,0,0.693
89.5,0,0,0.693
89.75,0,0,0.694
90,0,0,0.694
90.25,0,0,0.695
90.5,0,0,0.695
90.75,0,0,0.695
91,0,0,0.695
91.25,0,0,0.695
91.5,0,0,0.695
91.75,0,0,0.696
92,0,0,0.696
92.25,0,0,0.696
92.5,0,0,0.696
92.75,0,0,0.696
93,0,0,0.697
93.25,0,0,0.697
93.5,0,0,0.697
93.75,0,0,0.697
94,0,0,0.698
94.25,0,0,0.698
94.5,0,0,0.698
94.75,0,0,0.698
95,0,0,0.699
95.25,0,0,0.699
95.5,0,0,0.699
95.75,0,0,0.699
96,0,0,0.7
